order,rootWord,rootWordId,definition,partOfSpeech
111,م ر ي,1387,dispute,Active participle (form VIII)
112,ج ي أ,281,to come,Verb (form I)
113,ب ن ي,160,they built,Noun
114,ل ق ي,1347,"to receive, to meet",Verb (form I)
115,س و ي,747,"to fashion, to proportion",Verb (form II)
116,ش ع ر,778,"to perceive, to realize",Verb (form I)
117,ل ع ن,1334,to curse,Verb (form I)
118,و ج ه,1592,[I] have turned,Nominal (Noun)
119,أ ل م,60,painful,Adjective
120,س ر ع,682,and they hasten,Nominal (Noun)
121,د ب ر,455,disposing,Noun
122,غ ض ب,1067,and will fall the wrath,Passive participle
123,ف ر ي,1126,to invent,Verb (form VIII)
124,أ ك ل,54,"to eat, to consume",Verb (form I)
125,ش ر ك,771,to associate partners,Verb (form IV)
126,ف ح ش,1110,immorality,Noun
127,ع د د,964,to prepare,Verb (form IV)
128,ص م د,860,"the Eternal, the Absolute",Noun
129,ح و ط,370,"to surround, to encompass",Verb (form IV)
130,ج و ب,273,"to answer, to respond",Verb (form IV)
131,خ ي ر,449,they select,Nominal (Noun)
132,ع ن د,1028,with,Nominal (Location adverb)
133,ق ر ب,1187,"to approach, to go near",Verb (form I)
134,ف ن ن,1156,branches,Noun
135,د ه م,491,Dark green,Active participle (form XI)
136,ص و ب,867,"to strike, to befall, to bestow",Verb (form IV)
137,و ح ي,1595,"to reveal, to inspire",Verb (form IV)
138,ع م ي,1025,so they became blind,Nominal (Noun)
139,س ل ك,716,"to insert, to make enter",Verb (form I)
140,ج ز ي,245,"to reward, to recompense",Verb (form I)
141,ن ش ط,1473,gently,Noun
142,ز م ل,631,who wraps himself,Active participle (form V)
143,ه ز ل,1552,(is) for amusement,Noun
144,س م د,720,amuse (yourselves),Active participle
145,د ث ر,456,who covers himself,Active participle (form V)
146,و ه ب,1650,"to grant, to bestow",Verb (form I)
147,ط ف ف,915,to those who give less,Active participle (form II)
148,س ه ر,733,(will be) awakened,Noun
149,ص م م,862,and they became deaf,Noun
150,ح ف ظ,339,to guard,Verb (form III)
151,ب ح ر,99,the sea,Noun
152,س ق م,703,sick,Noun
153,خ ن س,440,the one who withdraws,Noun
154,ن ج و,1445,"to save, to deliver",Verb (form II)
155,ف ك ك,1149,(It is) freeing,Noun
156,ي ق ن,1660,to believe firmly,Verb (form IV)
157,ح ب ب,284,"to love, to like",Verb (form IV)
158,م و ل,1427,[the] wealth,Noun
159,ك ي ف,1308,How,Nominal (Interogative particle)
160,ق ض ي,1212,"to decree, to decide, to judge",Verb (form I)
161,ق ت ل,1176,to kill,Verb (form I)
162,و ر د,1602,to lead,Verb (form IV)
163,ج ن ن,267,covered,Nominal (Noun)
164,ز ي د,643,to increase,Verb (form I)
165,ح ك م,345,to judge,Verb (form I)
166,ع ر ي,979,to unclothe,Verb (form I)
167,ح ز ن,315,to grieve,Verb (form I)
168,ك ر ه,1268,"to dislike, to hate",Verb (form I)
169,ع ب س,950,to frown,Verb (form I)
170,ك س ب,1269,to earn,Verb (form I)
171,ك ش ف,1275,"to remove, to uncover",Verb (form I)
172,خ ل ف,430,"to break, to fail",Verb (form IV)
173,ث ل ل,207,A company,Noun
174,ن ض ر,1483,radiance,Active participle
175,ن س ي,1469,to forget,Verb (form I)
176,ر ك ع,585,to bow,Verb (form I)
177,خ س ر,406,he (has) lost ,Active participle
178,ل ه ب,1352,the flame,Noun
179,ق ه ر,1240,oppress,Active participle
180,أ ج ر,18,"reward, payment, dowry",Noun
181,ع ر ض,975,"to display, to present, to expose, to turn away",Verb (form I)
182,ق ر ر,1190,"to ratify, to affirm",Verb (form IV)
183,ك أ س,1250,a cup,Noun
184,ل ي س,1363,to not be,Verb (form I)
185,ز ب ن,610,the Angels of Hell,Noun
186,ح ص ل,327,to make apparent,Verb (form II)
187,ب ت ر,93,the one cut off,Noun
188,ن ق ع,1511,dust,Noun
189,ق د ح,1179,striking,Noun
190,ف ن ي,1157,(will) perish,Active participle
191,أ م ن,75,to feel secure,Verb (form I)
192,ب ي ت,169,spend (the) night,Noun
193,ن ض خ,1481,gushing forth,Adjective
194,ح ق ق,344,deserved ,Nominal (Noun)
195,و ج د,1588,to find,Verb (form I)
196,ت ي ن,192,By the fig,Noun
197,ن ك ر,1517,he felt unfamiliar of them,Passive participle (form IV)
198,و ص ي,1620,to enjoin,Verb (form II)
199,ض ب ح,879,panting,Noun
200,م ع ن,1405,[the] small kindnesses,Noun
201,ع ز م,984,"to resolve, to decide, to determine",Verb (form I)
202,و ه ن,1652,to weaken,Verb (form I)
203,ع ر ج,971,to ascend,Verb (form I)
204,ل ب ب,1312,(of) understanding,Noun
205,أ ب د,5,"forever, ever",Time adverb
206,ق و ي,1247,(is) All-Strong,Noun
207,ل ب س,1315,"to obscure, to confuse, to mix, to wear",Verb (form I)
208,ض ع ف,887,"to double, to multiply",Verb (form III)
209,م ر ض,1386,I am ill,Noun
210,ن ط ق,1486,to speak,Verb (form I)
211,خ ر ج,397,"to go out, to come out, to depart, to leave",Verb (form I)
212,م ت ن,1368,(is) firm,Nominal (Noun)
213,ه ل ك,1559,to destroy,Verb (form IV)
214,ج ح م,227,(of) the blazing Fire,Noun
215,ن ف ر,1499,to go forth,Verb (form I)
216,ف ك ه,1150,wondering,Noun
217,ح ي ص,376,any escape,Verbal noun
218,ك ف ي,1283,to be sufficient,Verb (form I)
219,ش د د,762,and harden,Nominal (Noun)
220,ب ر ك,118,We blessed,Passive participle (form III) (Noun)
221,م د ن,1380,the cities,Noun
222,ش ح ن,760,laden,Passive participle
223,ح ز ب,314,(the) party,Noun
224,ح ض ض,331,to feel the urge,Verb (form I)
225,ص د ر,827,will proceed,Noun
226,ق ع د,1218,while they sat,Noun
227,ع س ي,989,to perhaps,Verb (form I)
228,أ ح د,20,"one, anyone",Noun
229,س ب ح,651,"to glorify, to praise",Verb (form II)
230,أ ه ل,82,(the) People,Noun
231,غ ر ق,1057,to drown,Verb (form IV)
232,ز ك و,624,to purify,Verb (form II)
233,ك ن د,1294,(is) surely ungrateful,Noun
234,ن ح ر,1448,to sacrifice,Verb (form I)
235,ط ي ب,936,seems suitable,Nominal (Adjective)
236,ب س ر,122,"to scowl, to frown",Verb (form I)
237,ن ز ف,1459,to be intoxicated,Verb (form IV)
238,و س م,1612,We will brand him,Active participle (form V)
239,أ ز ر,35,strength,Noun
240,ق ط ف,1216,Its clusters of fruits,Noun
241,و س ق,1610,to envelops,Verb (form I)
242,ي م ن,1662,the right,Noun
243,ع ج ب,959,"to please, to impress",Verb (form IV)
244,غ ش و,1064,overcoming,Noun
245,أ م م,72,"leader, guide, record, highway",Noun
246,خ ش ع,409,And (will be) humbled,Active participle
247,ع م ه,1024,to wander blindly,Verb (form I)
248,ش ط ن,776,the Shaitaan,Nominal (Proper noun)
249,ع د و,967,to transgress,Verb (form V)
250,ن د و,1455,And they called one another,Verbal noun (form III)
251,ب س س,123,"to crumble, to crush",Verb (form I)
252,ف س ق,1132,to disobey defiantly,Verb (form I)
253,ق س م,1201,distribute,Noun
254,س ر ر,681,to please,Verb (form I)
255,س ك ن,708,"to dwell, to live, to rest",Verb (form I)
256,ب ع ث ر,138,"to overturn, to scatter",Verb (form I)
257,ر ض و,561,to be pleased,Verb (form I)
258,إِبْرَاهِيم,6,Ibrahim,Proper noun
259,ج ر ز,238,barren,Adjective
260,ر ف ع,573,to raise,Verb (form I)
261,ع ه ن,1033,like wool,Noun
262,ن ص ح,1476,to advise,Verb (form I)
263,ب ش ر,128,to give glad tidings,Verb (form II)
264,س ه و,736,(of) heedlessness,Active participle
265,ط و ع,931,to obey,Verb (form IV)
266,ر ب و,529,"to increase, to make numerous",Verb (form IV)
267,غ ر ب,1054,it set,Noun
268,ت ر ك,182,to leave,Verb (form I)
269,أ ب و,10,"forefathers, fathers, parents",Noun
270,ب ل و,158,to test,Verb (form I)
271,ق ر ن,1195,generations,Noun
272,ن ط ف,1485,a minute quantity of semen,Noun
273,ب ك م,152,dumb,Noun
274,ن ج د,1442,the two ways,Noun
275,ز ج ر,612,and he was repelled,Noun
276,ت ب ر,175,and to destroy,Passive participle (form II)
277,ش أ م,752,(of) the left,Noun
278,م و ر,1426,"to shake, to sway",Verb (form I)
279,د ع ع,473,"to thrust, to repulse",Verb (form I)
280,س ف ل,698,below,Nominal (Adjective)
281,ص ي ح,873,the thunderous blast,Noun
282,و ض ع,1621,"to deliver, to give birth",Verb (form I)
283,إِسْرَائِيل,41,Israel,Proper noun
284,ن س و,1468,your women,Noun
285,ر ب ع,528,forty,Nominal (Noun)
286,ب ر أ,110,to disown,Verb (form V)
287,ف ط ر,1141,to create,Verb (form I)
288,ش ق و,788,"to suffer, to be wretched, to be distressed",Verb (form I)
289,ل ذ ذ,1327,and delights,Adjective
290,س ج ر,660,to burn,Verb (form I)
291,إِلْيَاس,64,Elijah,Proper noun
292,ف ق د,1144,to miss,Verb (form I)
293,ذ ه ب,516,"to go, to take away",Verb (form I)
294,ح ر م,312,"to forbid, to make unlawful",Verb (form II)
295,ر ج ف,537,will quake,Noun
296,غ ل ل,1077,"to defraud, to chain, to shackle",Verb (form I)
297,ص د ع,828,to proclaim,Verb (form I)
298,ث ق ل,205,(will be) heavy,Noun
299,أ ن س,78,you perceive,Noun
300,ط و ف,932,"to walk, to circumambulate",Verb (form V)
301,ن ف ث,1494,(of) the blowers,Noun
302,ط ه ر,928,to purify,Verb (form I)
303,أ ن م,80,for the creatures,Noun
304,ج ه د,269,to strive,Verb (form III)
305,خ ي م,452,the pavilions,Noun
306,ج ي د,283,her neck,Noun
307,ك ف أ,1278,equivalent,Noun
308,خ ف ي,425,"to conceal, to hide",Verb (form IV)
309,م س د,1393,palm-fiber,Noun
310,ح س ب,316,to think,Verb (form I)
311,س ف ع,696,to drag,Verb (form I)
312,خ ف ف,424,to lighten,Verb (form II)
313,ش ر ق,770,And (will) shine,Noun
314,ن ك س,1518,to turn,Verb (form I)
315,ص ل ي,858,to burn,Verb (form I)
316,ذ ن ب,515,for their sins,Noun
317,ع ر ف,976,"to know, to recognize",Verb (form I)
318,ب ق ي,150,to remain,Verb (form I)
319,ب د ل,106,to change,Verb (form II)
320,ر و د,600,"to intend, to desire, to want, to wish",Verb (form IV)
321,ن ب ذ,1436,"to throw, to cast",Verb (form I)
322,غ ر ر,1055,"to deceive, to delude",Verb (form I)
323,س ي ر,750,to travel,Verb (form I)
324,ع ي ش,1044,a life,Noun
325,ق ط ر,1213,all its sides,Noun
326,ح م ل,354,"to carry, to bear",Verb (form I)
327,ق ل ي,1227,He is displeased,Active participle
328,ط ر ف,908,their gaze,Noun
329,ز ن ي,634,commit unlawful sexual intercourse,Verbal noun
330,ب ر م,119,"to determine, to conclude",Verb (form IV)
331,ر ج ج,533,to shake,Verb (form I)
332,ق ن ي,1239,and suffices,Noun
333,خ ر ط م,401,the snout,Noun
334,خ ص م,413,they (were) disputing,Noun
335,و ض ن,1622,decorated,Passive participle
336,غ و ل,1091,(is) bad effect,Noun
337,ق س ر,1197,a lion,Noun
338,ح ل م,349,dreams,Nominal (Adjective)
339,ع ج ل,962,to hurry,Verb (form V)
340,س ل ط,713,surely He (would have) given them power,Noun
341,ض ن ن,895,a withholder,Noun
342,ش ف ه,784,and two lips,Noun
343,و ف ي,1633,"to pay in full, to fulfill",Verb (form II)
344,ش و ب,805,(is) a mixture,Noun
345,س ن م,729,Tasneem,Noun
346,أ ن ي,81,come (the) time,Nominal (Interogative particle)
347,ط ل ح,919,And banana trees,Noun
348,م ن ن,1419,bestowed a Favor,Noun
349,س ك ب,705,poured forth,Passive participle
350,ج ه ر,270,publicizes,Noun
351,و ت ن,1584,the aorta,Noun
352,خ ش ي,410,to fear,Verb (form I)
353,ك ب ر,1254,to magnify,Verb (form II)
354,ط ح و,905,to spread,Verb (form I)
355,خ ل ص,427,they secluded themselves,Active participle
356,د س و,472,to bury,Verb (form I)
357,ح ش ر,322,"to gather, to raise",Verb (form I)
358,خ ل د,426,and he will abide forever,Active participle
359,س ع ر,691,is set ablaze,Noun
360,د ه ق,490,full,Adjective
361,ق ض ب,1210,and green fodder,Noun
362,ك ي د,1307,scheme against me,Noun
363,ح ي ن,380,a period,Nominal (Noun)
364,ح ب ك,288,pathways,Noun
365,و ل د,1647,Shall I bear a child,Noun
366,خ ض د,414,thornless,Passive participle
367,أ ب ب,4,"grass, herbage, pasture",Noun
368,إِرَم,34,Iram,Proper noun
369,ر ق ق,577,parchment,Noun
370,ك ن س,1296,(and) disappear,Adjective
371,ن ش ر,1471,Will spread,Passive participle
372,ك ب ك ب,1255,to overturn,Verb (form I)
373,ش ر ذ م,766,(are) certainly a band,Noun
374,ق م ع,1232,(are) hooked rods,Noun
375,س و ع,742,the Hour,Nominal (Noun)
376,ش ر ب,763,to drink,Verb (form I)
377,ذ ر ر,506,and their descendents,Noun
378,ص ح ف,823,plates,Noun
379,ذ و ق,519,to taste,Verb (form I)
380,م و ه,1428,water,Noun
381,ص ب غ,820,and a relish,Noun
382,ن ز غ,1458,to cause discord,Verb (form I)
383,ك ل م,1289,to speak,Verb (form II)
384,ظ ل ل,941,to shade,Verb (form II)
385,ر ج و,540,"to hope, to expect, to desire",Verb (form I)
386,س ب ق,655,to race,Verb (form VIII)
387,ط غ ي,913,transgress,Noun
388,ج ن ح,264,they incline,Noun
389,ع د ل,966,you can do justice,Noun
390,ب أ س,92,"to be wretched, to be evil",Verb (form I)
391,إِمَّا,74,Whether,Particle (Conditional particle)
392,ح ج ج,293,"to perform pilgrimage, to argue",Verb (form I)
393,ح ط ب,332,firewood,Noun
394,ق د ر,1181,"to restrict, to control, to have power",Verb (form I)
395,ح ج ر,294,and [the] stones,Noun
396,ص ل ص ل,856,sounding clay,Noun
397,ب ر ر,114,"to be good, to be kind",Verb (form I)
398,ق ل ب,1222,"to turn back, to return",Verb (form VII)
399,ق م ر,1229,the moon,Noun
400,خ ب ر,385,your news,Nominal (Noun)
401,ع ي ن,1046,(having) beautiful eyes,Noun
402,ل ط ف,1331,and let him be cautious,Nominal (Noun)
403,غ ب ر,1048,(will be) dust,Active participle
404,غ ل ي,1080,to boil,Verb (form I)
405,ص ه ر,866,to melt,Verb (form I)
406,ق و ع,1244,a level,Noun
407,ج ح د,226,"to reject, to deny",Verb (form I)
408,آدَم,1,Adam,Proper noun
409,ب س ط,124,"to extend, to stretch",Verb (form I)
410,ف أ د,1098,their hearts,Noun
411,ش ر ر,767,(is) bad,Noun
412,ح ي ث,373,wherever,Nominal (Noun)
413,ل د ن,1326,Yourself,Nominal (Noun)
414,ج ل ل,256,(of) Majesty,Noun
415,ق ط ع,1215,to cut,Verb (form I)
416,س ن ن,730,and the tooth,Noun
417,ض ح ك,881,to laugh,Verb (form I)
418,ج ب ر,218,(of) tyrannical strength,Nominal (Adjective)
419,ق ر ي,1196,town,Noun
420,و ث ق,1585,He bound you,Noun
421,ط ل ق,921,to divorce,Verb (form II)
422,ج ث م,224,fallen prone,Active participle
423,و ز ر,1605,to bear,Verb (form I)
424,خ ل و,433,to pass away,Verb (form I)
425,م س س,1394,to touch,Verb (form I)
426,أ و ي,87,I will betake myself,Noun
427,ر ك ض,584,"to flee, to strike",Verb (form I)
428,س ل ل,717,slip away,Noun
429,ه م ز,1563,Defamer,Noun
430,ه ج ر,1542,to emigrate,Verb (form III)
431,ر ك ب,580,Embark,Noun
432,ش ج ر,757,arises,Noun
433,ز و ج,638,We married her to you,Noun
434,ع م ر,1020,to grant life,Verb (form II)
435,ح ص ي,329,"to count, to calculate, to enumerate",Verb (form IV)
436,أَمَّا,73,Then as for,Particle (Explanation particle)
437,ف س د,1130,"to be corrupted, to be ruined",Verb (form I)
438,ط ر ق,909,(to) a way,Noun
439,ص ف و,851,to choose,Verb (form VIII)
440,ن ف ذ,1498,to pass,Verb (form I)
441,ق ن ط,1235,to despair,Verb (form I)
442,ص ي ف,877,and summer,Noun
443,ش ت و,756,(of) winter,Noun
444,و ق ب,1634,to spread,Verb (form I)
445,س ب ع,653,seven,Nominal (Noun)
446,ق ر أ,1186,is recited,Noun
447,ن ج م,1444,the stars,Noun
448,م ل و,1417,to give respite,Verb (form IV)
449,ق ن ت,1234,Be obedient,Active participle
450,غ د و,1053,to leave early,Verb (form I)
451,م ه د,1421,they are preparing,Noun
452,م ه ن,1423,despised,Nominal (Adjective)
453,ح م أ,351,black mud,Noun
454,ر و غ,603,to turn,Verb (form I)
455,ث م ن,209,and the eight of them,Noun
456,ح ي ق,379,"to surround, to encompass, to envelope",Verb (form I)
457,خ د ع,393,to deceive,Verb (form I)
458,ق ر ض,1191,"to lend, to loan",Verb (form IV)
459,خ ت م,391,to seal,Verb (form I)
460,ك ف ف,1281,Restrain,Noun
461,ث ب ت,194,to make firm,Verb (form II)
462,س ر ق,684,he steals ,Active participle
463,ش ب ه,754,"to look alike, to seem alike",Verb (form VI)
464,ط م ث,923,to touch,Verb (form I)
465,ز ي ن,646,to make fair,Verb (form II)
466,ش غ ل,781,Kept us busy,Noun
467,خ م د,434,extinct,Active participle
468,ج ر ي,242,"to flow, to run",Verb (form I)
469,ل ه و,1355,(are) distracted,Noun
470,ك ه ف,1298,(of) the cave,Noun
471,ر ش د,557,to be led aright,Verb (form I)
472,ب ك ي,153,to weep,Verb (form I)
473,ن ك ث,1514,to break (oath),Verb (form I)
474,ض ح و,882,exposed to the sun's heat,Nominal (Time adverb)
475,أ خ و,23,brother,Noun
476,س ب ت,650,they had Sabbath,Noun
477,ت ج ر,177,their commerce,Noun
478,ص ف ف,849,(when) lined up,Verbal noun
479,و ز ع,1606,to set in rows,Verb (form I)
480,ط و ي,935,We will fold,Noun
481,ش ه ب,800,a burning flame,Noun
482,ب ر د,113,cool[ness],Noun
483,ر و ح,599,you bring them in,Noun
484,د ه ن,492,you should compromise,Noun
485,ز ب ر,609,sheets,Noun
486,ق ل ل,1225,(is) little,Nominal (Noun)
487,ر م ي,593,"to throw, to accuse",Verb (form I)
488,س خ ر,669,"to ridicule, to mock",Verb (form I)
489,س ر ف,683,(be) extravagant,Verbal noun (form IV)
490,ث ع ب,202,(was) a serpent,Noun
491,ص ف د,846,the chains,Noun
492,ه ي م,1576,to roam,Verb (form I)
493,و ذ ر,1600,"to leave, to forsake",Verb (form I)
494,م ت ع,1367,"to grant, to bestow, to provide",Verb (form II)
495,م ن ي,1420,to wish,Verb (form V)
496,ح ر ج,303,any discomfort,Nominal (Noun)
497,ق ر ف,1194,"to commit, to acquire, to earn",Verb (form VIII)
498,ب د و,108,"to reveal, to disclose",Verb (form IV)
499,م ي ل,1432,"to deviate, to assult, to incline",Verb (form I)
500,س ر ب ل,676,Their garments,Noun
501,س ل س ل,712,and the chains,Noun
502,ز ق م,623,(of) Zaqqum,Proper noun
503,و ت د,1582,(of) the stakes,Noun
504,ع ه د,1032,"to make a covenant, to promise",Verb (form I)
505,ل م ز,1349,"to criticize, to insult",Verb (form I)
506,ج ن ب,263,and keep me away,Noun
507,غ ف ل,1072,you neglect,Active participle
508,ح ن ف,360,(the) upright,Noun
509,ف ر ح,1116,to rejoice,Verb (form I)
510,ع ر ب,970,the bedouins,Noun
511,ف ل ح,1151,to succeed,Verb (form IV)
512,س ف ه,700,to fool,Verb (form I)
513,ه م م,1565,"to determine, to plan, to plot, to desire",Verb (form I)
514,ف ر ج,1115,is cleft asunder,Noun
515,ب ق ر,147,[the] cows,Noun
516,ف ت ح,1101,"to open, to give victory",Verb (form I)
517,س م ر,721,conversing by night,Proper noun
518,ك ر ب,1264,distress,Noun
519,ل ج ج,1318,to persist,Verb (form I)
520,غ ي ث,1094,to be given rain,Verb (form IV)
521,ك د ح,1260,(with) exertion,Noun
522,أ ث ر,14,"footsteps, tracks, impressions",Noun
523,ج ه ل,272,(are) ignorant,Active participle
524,أ ز ز,36,to incite,Verb (form I)
525,ب ت ل,95,to devote,Verb (form V)
526,ت ر ق,181,the collar bones,Verbal noun (form VI)
527,ض ي ز,899,unfair,Adjective
528,ج ب ن,220,upon his forehead,Noun
529,ك ف ت,1279,a receptacle,Verbal noun (form III)
530,و ه ي,1653,frail,Active participle
531,س ج و,663,to cover with darkness,Verb (form I)
532,د س ر,470,and nails,Noun
533,ح ر د,304,determination,Noun
534,ن ك ل,1521,(are) shackles,Noun
535,ت ل ل,187,to put down,Verb (form I)
536,ز ف ف,622,to hasten,Verb (form I)
537,ف ض ح,1137,to shame,Verb (form I)
538,أ د د,24,atrocious,Adjective
539,ذ ل ل,513,we were humiliated,Nominal (Adjective)
540,ن م م,1523,with malicious gossip,Noun
541,ز ن م,633,utterly useless,Noun
542,ف ل ن,1154,that one,Noun
543,ح ر ك,311,to move,Verb (form II)
544,ر ه ب,594,to fear,Verb (form I)
545,ل ق م,1346,to swallow,Verb (form VIII)
546,س ق ي,704,"to water, to give drink",Verb (form I)
547,ل ظ ي,1332,to blaze,Verb (form I)
548,ك ب د,1253,hardship,Noun
549,ف ق ر,1145,[the] poverty,Noun
550,ر غ ب,566,"to desire, to prefer",Verb (form I)
551,غ م ز,1082,to wink,Verb (form VI)
552,د ف ق,477,ejected,Active participle
553,ص د ق,830,"to be truthful, to fulfill",Verb (form I)
554,ر ح ق,542,a pure wine,Noun
555,و ح ش,1594,the wild beasts,Noun
556,ص ف ص ف,848,plain,Adjective
557,و أ د,1577,the female infant buried alive,Passive participle
558,و ر ي,1604,to hide,Nominal (Location adverb)
559,أ ف ك,52,"to delude, to turn away",Verb (form I)
560,ع ز و,985,(in) separate groups,Noun
561,ش ق ق,787,to split,Verb (form V)
562,ض ر ب,884,"to strike, to set forth",Verb (form I)
563,ع و ذ,1036,to seek refuge,Verb (form I)
564,ك ش ط,1274,to strip away,Verb (form I)
565,ك د ر,1261,to fall and lose luster,Verb (form VII)
566,ع ص م,995,to hold fast,Verb (form VIII)
567,ع س ع س,987,to depart,Verb (form I)
568,ص خ خ,824,the Deafening Blast,Active participle
569,ل ه م,1354,to inspire,Verb (form IV)
570,س ه م,735,to draw,Verb (form III)
571,ف و ز,1162,"to be successful, to attain",Verb (form I)
572,س غ ب,693,severe hunger,Noun
573,ن ق م,1512,you resent,Verbal noun (form VIII)
574,أ م ت,67,curve,Noun
575,ه ل ع,1558,anxious ,Noun
